id,title,lyricsType,lyrics,audioURL,category
139,139 ชูใจของคุณ,png,https://good4.eu/songs/139.png,,เพลงสั้นสรรเสริญ 20-148
140,140 พระคริสต์เป็นพระเจ้าของเราชาวโลกา,png,https://good4.eu/songs/140.png,,เพลงสั้นสรรเสริญ 20-148
141,141 พระเจ้าดี,png,https://good4.eu/songs/141.png,,เพลงสั้นสรรเสริญ 20-148
142,142 เราจะสรรเสริญพระองค์,png,https://good4.eu/songs/142.png,,เพลงสั้นสรรเสริญ 20-148
143,143 พระเยซูเป็นพระเจ้า,png,https://good4.eu/songs/143.png,,เพลงสั้นสรรเสริญ 20-148
144,144 ดูเถิดพระเจ้าเป็นความรอดของข้า,png,https://good4.eu/songs/144.png,,เพลงสั้นสรรเสริญ 20-148
145,145 องค์พระคริสต์ทรงฤทธิ์,png,https://good4.eu/songs/145.png,,เพลงสั้นสรรเสริญ 20-148
146,146 เกิดความยินดี,png,https://good4.eu/songs/146.png,,เพลงสั้นสรรเสริญ 20-148
147,147 องค์อธิปไตย,png,https://good4.eu/songs/147.png,,เพลงสั้นสรรเสริญ 20-148
148,148 ใครจะขึ้นไป,png,https://good4.eu/songs/148.png,,เพลงสั้นสรรเสริญ 20-148
149,149 ข้าแสวงหาพระองค์,png,https://good4.eu/songs/149.png,,เพลงสั้นนมัสการและภาวนา 149-321
150,150 พระบิดาเรารัก,png,https://good4.eu/songs/150.png,,เพลงสั้นนมัสการและภาวนา 149-321
151,151 พระนามพระเยซู,png,https://good4.eu/songs/151.png,,เพลงสั้นนมัสการและภาวนา 149-321
152,152 ข้าเงยหน้ามองขึ้น,png,https://good4.eu/songs/152.png,,เพลงสั้นนมัสการและภาวนา 149-321
153,153 เข้าเฝ้าที่พระพักตร์พระเจ้า,png,https://good4.eu/songs/153.png,,เพลงสั้นนมัสการและภาวนา 149-321
154,154 มองพระพักตร์องค์พระเยซู,png,https://good4.eu/songs/154.png,,เพลงสั้นนมัสการและภาวนา 149-321
155,155 พระวิญญาณของพระเจ้า,png,https://good4.eu/songs/155.png,,เพลงสั้นนมัสการและภาวนา 149-321
156,156 โปรดให้ฉันใกล้พระองค์,png,https://good4.eu/songs/156.png,,เพลงสั้นนมัสการและภาวนา 149-321
157,157 อิมมานูเอล,png,https://good4.eu/songs/157.png,,เพลงสั้นนมัสการและภาวนา 149-321
158,158 บริสุทธิ์,png,https://good4.eu/songs/158.png,,เพลงสั้นนมัสการและภาวนา 149-321
159,159 ในเวลาของพระคริสต์,png,https://good4.eu/songs/159.png,,เพลงสั้นนมัสการและภาวนา 149-321
160,160 โปรดประทานการฟื้นใจ,png,https://good4.eu/songs/160.png,,เพลงสั้นนมัสการและภาวนา 149-321
161,161 ท่ามกลางภาระหนัก,png,https://good4.eu/songs/161.png,,เพลงสั้นนมัสการและภาวนา 149-321
162,162 ฉันได้ตัดสินใจ,png,https://good4.eu/songs/162.png,,เพลงสั้นนมัสการและภาวนา 149-321
163,163 เวลานี้เราจะถ่อมตัวลง,png,https://good4.eu/songs/163.png,,เพลงสั้นนมัสการและภาวนา 149-321
164,164 เปลี่ยนแปลงชีวิต,png,https://good4.eu/songs/164.png,,เพลงสั้นนมัสการและภาวนา 149-321
165,165 โลหิตพระคริสต์,png,https://good4.eu/songs/165.png,,เพลงสั้นนมัสการและภาวนา 149-321
166,166 ความรักยิ่งใหญ่เรารับ,png,https://good4.eu/songs/166.png,,เพลงสั้นนมัสการและภาวนา 149-321
167,167 ที่บนกางเขน,png,https://good4.eu/songs/167.png,,เพลงสั้นนมัสการและภาวนา 149-321
168,168 สรรเสริญสดุดีจงมีแด่พระเจ้า,png,https://good4.eu/songs/168.png,,เพลงสั้นนมัสการและภาวนา 149-321
169,169 พระบิดาผู้ไม่ทรงเปลี่ยนแปลง,png,https://good4.eu/songs/169.png,,เพลงสั้นนมัสการและภาวนา 149-321
170,170 เราคืออัลฟาและโอเมกา,png,https://good4.eu/songs/170.png,,เพลงสั้นนมัสการและภาวนา 149-321
171,171 เพราะพระองค์นั้นทรงเปี่ยมรัก,png,https://good4.eu/songs/171.png,,เพลงสั้นนมัสการและภาวนา 149-321
172,172 เพื่อน,png,https://good4.eu/songs/172.png,,เพลงสั้นนมัสการและภาวนา 149-321
173,173 ปรารถนาพระองค์,png,https://good4.eu/songs/173.png,,เพลงสั้นนมัสการและภาวนา 149-321
174,174 โปรดให้เข้าใกล้พระองค์,png,https://good4.eu/songs/174.png,,เพลงสั้นนมัสการและภาวนา 149-321
175,175 ถวายกายใจ,png,https://good4.eu/songs/175.png,,เพลงสั้นนมัสการและภาวนา 149-321
176,176 ขอบพระคุณพระเจ้า,png,https://good4.eu/songs/176.png,,เพลงสั้นนมัสการและภาวนา 149-321
177,177 พระเยซูผู้สมควรสรรเสริญ,png,https://good4.eu/songs/177.png,,เพลงสั้นนมัสการและภาวนา 149-321
178,178 พระเยซูโปรดฟื้นฟู,png,https://good4.eu/songs/178.png,,เพลงสั้นนมัสการและภาวนา 149-321
179,179 มีพระเยซู,png,https://good4.eu/songs/179.png,,เพลงสั้นนมัสการและภาวนา 149-321
180,180 แต่ข้ารู้จักพระองค์ท,png,https://good4.eu/songs/180.png,,เพลงสั้นนมัสการและภาวนา 149-321
181,181 ให้เราเข้าในวิหารนี้,png,https://good4.eu/songs/181.png,,เพลงสั้นนมัสการและภาวนา 149-321
182,182 ให้เราสรรเสริญ,png,https://good4.eu/songs/182.png,,เพลงสั้นนมัสการและภาวนา 149-321
